ObjDokNr;Ortsteil;Bezirk;Denkmalart;EnsembleStatus;Adresse;Zugehˆrigkeit;Architekt/K¸nstler;WeitereInformationen;Beschreibung;Datierung;Eintragung
9020426;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 46;;H. Enders ;NA;Mietshaus, L‰den;1889-90;Nach 1995
9020427;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 48;;H. Enders ;NA;Mietshaus, L‰den;1889-93;Nach 1995
9020428;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 50;;H. Enders ;NA;Mietshaus, L‰den;1891-92;Nach 1995
9020429;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Nehringstraﬂe 2;;Hermann Fischer und Paul Schˆne ;NA;Mietshaus, L‰den;1903;Nach 1995
9020430;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Nehringstraﬂe 4;;Carl Kˆnig ;NA;Mietshaus, L‰den;1903-04;Nach 1995
9020431;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Nehringstraﬂe 4A;;K. Zehmisch ;NA;Mietshaus, L‰den;1903-05;Nach 1995
9020432;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Nehringstraﬂe 5;;E. Habel ;NA;Mietshaus, L‰den;1888-89;Nach 1995
9020433;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Nehringstraﬂe 6;;Hermann Marunge ;NA;Mietshaus, L‰den;1888-89;Nach 1995
9020434;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Nehringstraﬂe 13;;Walter Zander ;NA;Mietshaus, L‰den;1902-03;Nach 1995
9020435;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Nehringstraﬂe 34 / Neufertstraﬂe 13;;Wilhelm Schˆltz ;NA;Mietshaus, L‰den;1890-91;Nach 1995
9020436;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 4;;Hermann Marunge ;NA;Mietshaus, L‰den;1889-90;Nach 1995
9020437;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 5;;F. N¸rnberg ;NA;Mietshaus, L‰den;1892-95;Nach 1995
9020438;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 6;;W. Schure ;NA;Mietshaus, L‰den;1889-90;Nach 1995
9020439;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 7;;Ernst George ;NA;Mietshaus;1887;Nach 1995
9020440;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 8;;W. Schure ;NA;Mietshaus;1889-90;Nach 1995
9020441;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 9;;NA;NA;Mietshaus;1894-95;Nach 1995
9020442;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 10;;Salow; Mˆller & Stegemann ;Mietshaus, L‰den;1891-94;Nach 1995
9020443;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 11;;NA;NA;Mietshaus;1884;Nach 1995
9020444;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 12;;Salow; Mˆller & Stegemann ;Mietshaus, L‰den;1892-93;Nach 1995
9020445;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 14;;Salow; Mˆller & Stegemann ;Mietshaus, L‰den;1890-92;Nach 1995
9020446;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Neufertstraﬂe 16;;Salow; Mˆller & Stegemann ;Mietshaus, L‰den;1890-92;Nach 1995
9020447;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 3;;Heinrich Salow; Umbau 1981 ;Mietshaus, L‰den;1888-89 und 1981;Nach 1995
9020448;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 4;;Hans Schulze ;NA;Mietshaus, L‰den;1889;Nach 1995
9020449;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 5;;Heinrich Salow ;NA;Mietshaus, L‰den;1887-88;Nach 1995
9020450;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 6;;Hans Schulze ;NA;Mietshaus, L‰den;1889-90;Nach 1995
9020451;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 7;;Heinrich Salow ;NA;Mietshaus, L‰den;1887-88;Nach 1995
9020452;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 8;;Hans Schulze und Carl Harnisch ;NA;Mietshaus, L‰den;1889-90;Nach 1995
9020453;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 9;;Heinrich Salow ;NA;Mietshaus, L‰den;1888-89;Nach 1995
9020454;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 10;;Hans Schulze ;NA;Mietshaus;1889-90;Nach 1995
9020455;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 11;;Salow; Mˆller & Stegemann ;Mietshaus, L‰den;1888-89;Nach 1995
9020456;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 12;;Hans Schulze ;NA;Mietshaus, L‰den;1889-90;Nach 1995
9020457;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 13 / Nehringstraﬂe;;Heinrich Salow ;NA;Mietshaus, L‰den;1888-89;Nach 1995
9020458;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 14 / Nehringstraﬂe;;Adolf Hornemann ;NA;Mietshaus, L‰den;1899-1900;Nach 1995
9020459;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 15 / Nehringstraﬂe;;Ernst George ;NA;Mietshaus, L‰den;1876-77;Nach 1995
9020460;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 16 / Nehringstraﬂe;;Wilhelm Schˆltz ;NA;Mietshaus, L‰den, Lokal;1886-87;Nach 1995
9020461;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 17;;E. Ehrlich ;NA;Mietshaus;1886;Nach 1995
9020462;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 18;;Wilhelm Schˆltz; Umbau 1950 ;Mietshaus, L‰den;1885 und 1950;Nach 1995
9020463;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 19;;NA;NA;Mietshaus;1891;Nach 1995
9020464;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 20;;H. Enders ;NA;Mietshaus, L‰den;1891-92;Nach 1995
9020465;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Seelingstraﬂe 21;;R. Schmidt ;NA;Mietshaus;1897-98;Nach 1995
